Fracture Date,Year,UWI,Well Area Name,Latitude_dd,Longitude_dd,Total Water Volume (m^3)
2025-04-18,2025,102082908824W600,BLUEBERRY,56.68584722222222,-121.80960277777777,54788.98
2025-04-17,2025,100142008824W600,BLUEBERRY,56.68585833333333,-121.81074722222222,41064.15
2025-03-31,2025,100131707917W600,SUNRISE,55.871205555555555,-120.66835555555556,16848.7
2025-03-31,2025,100062007917W600,SUNRISE,55.87147222222222,-120.66819722222223,17498.2
2025-03-31,2025,100032007917W600,SUNRISE,55.871383333333334,-120.66819722222223,17759.3
2025-03-31,2025,102042007917W600,SUNRISE,55.871294444444445,-120.66819722222223,14326.8
2025-03-31,2025,104041607917W600,SUNRISE,55.871966666666665,-120.66819444444445,35473.6
2025-03-31,2025,105041607917W600,SUNRISE,55.871877777777776,-120.66819444444445,33810.5
2025-03-31,2025,100121607917W600,SUNRISE,55.872147222222225,-120.66819444444445,32479.0
2025-03-31,2025,104051607917W600,SUNRISE,55.872055555555555,-120.66819444444445,33864.0
2025-03-31,2025,200C082A094B1600,GUNDY CREEK,56.85863611111111,-122.07900277777777,28282.9
2025-03-31,2025,204B004H094B1600,GUNDY CREEK,56.858602777777776,-122.08065555555555,15671.8
2025-03-31,2025,204A005H094B1600,GUNDY CREEK,56.85854722222222,-122.07903055555555,16705.0
2025-03-31,2025,200A003H094B1600,GUNDY CREEK,56.858725,-122.07897777777778,20114.0
2025-03-30,2025,200C013H094B1600,GUNDY CREEK,56.85876944444445,-122.07896388888888,12302.3
2025-03-25,2025,100101108524W600,INGA,56.33825277777778,-121.6464138888889,22912.09
2025-03-21,2025,204D087I094B0900,TOWN,56.75320277777778,-122.09086388888889,8666.66
2025-03-21,2025,102033208423W600,INGA,56.33834166666667,-121.64560555555556,28218.14
2025-03-21,2025,100070108523W600,INGA,56.33807222222222,-121.64560555555556,27766.69
2025-03-21,2025,102132908423W600,INGA,56.33816111111111,-121.64560555555556,27247.19
2025-03-21,2025,100033208423W600,INGA,56.33825277777778,-121.64560555555556,27974.47
2025-03-21,2025,100073208423W600,INGA,56.33843055555556,-121.64560277777778,29785.35
2025-03-21,2025,100061108524W600,INGA,56.33807222222222,-121.6464138888889,22854.71
2025-03-21,2025,100071108524W600,INGA,56.33816388888889,-121.6464138888889,22236.02
2025-03-20,2025,202D087I094B0900,TOWN,56.75324444444445,-122.09071944444445,9205.42
2025-03-19,2025,203D086I094B0900,TOWN,56.75328611111111,-122.09057777777777,11815.83
2025-03-17,2025,200A008A094B1600,TOWN,56.75318333333333,-122.09093333333333,10508.59
2025-03-16,2025,200C086I094B0900,TOWN,56.75358611111111,-122.09035833333333,11517.5
2025-03-15,2025,203D087I094B0900,TOWN,56.753225,-122.09079166666666,8702.15
2025-03-14,2025,102131208119W600,SEPTIMUS,55.99871666666667,-120.77255833333334,40273.8
2025-03-14,2025,100141208119W600,SEPTIMUS,55.998844444444444,-120.772475,38117.7
2025-03-14,2025,100131208119W600,SEPTIMUS,55.998780555555555,-120.77251666666666,30874.8
2025-03-14,2025,202D086I094B0900,TOWN,56.75330833333334,-122.09050833333333,13744.55
2025-03-11,2025,100133107915W600,DOE,55.88908333333333,-120.29564166666667,16250.5
2025-03-11,2025,102053107915W600,DOE,55.88895,-120.29564166666667,15288.8
2025-03-11,2025,100043107915W600,DOE,55.88890833333333,-120.29564166666667,15252.6
2025-03-11,2025,100123107915W600,DOE,55.88903888888889,-120.29564166666667,16643.8
2025-03-11,2025,100053107915W600,DOE,55.88899444444444,-120.29564166666667,15263.3
2025-03-10,2025,200C020F094H0400,NIG CREEK,57.09721666666667,-121.85734166666666,25992.41
2025-03-10,2025,202C042E094H0400,NIG CREEK,57.09723888888889,-121.85718333333332,23307.25
2025-03-10,2025,200A043E094H0400,NIG CREEK,57.09722777777778,-121.85726388888888,23664.71
2025-03-10,2025,204D019F094H0400,NIG CREEK,57.09725277777778,-121.85710555555555,24174.78
2025-03-06,2025,100032208214W600,MICA,56.07895277777778,-120.116975,25732.0
2025-03-06,2025,100141608214W600,MICA,56.07895277777778,-120.11673611111111,23918.0
2025-03-05,2025,100161508421W600,BOUDREAU,56.28956111111111,-121.21840555555556,163.21
2025-03-05,2025,100151608214W600,MICA,56.07895277777778,-120.11685555555555,26182.0
2025-03-05,2025,100150808214W600,MICA,56.07895277777778,-120.11709722222221,27503.0
2025-03-03,2025,102141608214W600,MICA,56.07895277777778,-120.11661388888888,25556.0
2025-03-03,2025,100040908214W600,MICA,56.07895277777778,-120.11649444444444,24605.0
2025-03-01,2025,100010408118W600,SEPTIMUS,55.99865555555556,-120.77191666666667,11681.6
2025-03-01,2025,100030308118W600,SEPTIMUS,55.998844444444444,-120.77179166666667,15730.2
2025-02-28,2025,102040308118W600,SEPTIMUS,55.99871944444445,-120.771875,11689.0
2025-02-28,2025,102030308118W600,SEPTIMUS,55.998783333333336,-120.77183333333333,12974.7
2025-02-27,2025,102010408118W600,SEPTIMUS,55.99859166666667,-120.77195833333333,10295.8
2025-02-26,2025,200A034E094H0400,NIG CREEK,57.08155277777778,-121.87043888888888,30061.32
2025-02-26,2025,200B034E094H0400,NIG CREEK,57.081519444444446,-121.87038333333332,28646.35
2025-02-26,2025,200D025E094H0400,NIG CREEK,57.08148888888889,-121.87032777777777,29158.45
2025-02-26,2025,102111208116W600,PARKLAND,56.011247222222224,-120.40766388888889,27032.25
2025-02-26,2025,100151608116W600,PARKLAND,56.010977777777775,-120.40768333333334,26117.36
2025-02-26,2025,102061208116W600,PARKLAND,56.011066666666665,-120.40767777777778,26054.9
2025-02-26,2025,102141208116W600,PARKLAND,56.01133611111111,-120.40765833333334,30731.93
2025-02-26,2025,100061208116W600,PARKLAND,56.011155555555554,-120.40766944444445,27227.31
